Subject,Condition,Blink Rate,Fixation Duration,Saccade Amplitude,Eye Movement Velocity
S1,HAPPY,8.333333333333334,7.094041666666667,14.277126008793761,11.273787543837901
S10,HAPPY,5.666666666666667,10.2009375,23.873560362064943,13.49909386717386
S11,HAPPY,14.333333333333334,4.083404761904761,13.437783797447079,6.562227157374642
S12,HAPPY,19.0,3.1474107142857144,10.957967958949936,5.046275915221056
S13,HAPPY,1.6666666666666667,4.591999999999999,11.496671595983138,12.35631917312597
S14,HAPPY,6.666666666666667,7.684526315789474,10.463167101981362,6.965801471404342
S15,HAPPY,2.6666666666666665,11.76257142857143,10.46199902687794,5.493476034364056
S16,HAPPY,11.666666666666666,4.948911764705882,22.72165599777265,4.9553600360225785
S17,HAPPY,8.0,6.6119130434782605,11.484589473125943,9.375715788014158
S18,HAPPY,7.666666666666667,7.860409090909091,17.094203750622103,11.409570856629019
S19,HAPPY,11.0,5.22115625,21.521404757909465,8.399927617624313
S2,HAPPY,21.333333333333332,2.8426666666666667,10.92489877780637,7.5526968880978025
S20,HAPPY,15.333333333333334,3.8205999999999998,10.925711038756752,16.05089818560803
S3,HAPPY,2.6666666666666665,23.719571428571424,12.28259527496887,7.829209446301956
S4,HAPPY,6.666666666666667,9.017894736842104,13.077455065407957,5.799803674705161
S5,HAPPY,8.666666666666666,5.07576,12.745605583913516,8.327590629835685
S6,HAPPY,2.6666666666666665,12.891142857142855,10.668885029679641,9.80751671758611
S7,HAPPY,12.0,4.7996,14.922210774138197,6.782141091488486
S8,HAPPY,7.666666666666667,7.671181818181818,14.354803476018237,10.290876308653248
S9,HAPPY,6.333333333333333,9.140444444444446,11.039784042899985,6.851531997459204
